Timestamp,ご年齢,エントリーした会社数,最終学歴,就活した時期,勉強時間,内定数
1/30/2022 19:56:22,21,1~10社,鹿児島大学法文学部在籍中,2022,30~100時間,0
1/30/2022 19:57:22,28,1~10社,私立大学　卒業,2020,501~700時間,1
1/30/2022 20:07:47,24,61社以上,日本大学　工学部,2020,301~500時間,2
1/30/2022 20:10:17,33,1~10社,レコールバンタン,2022,901~1100時間,1
1/30/2022 20:31:28,27,1~10社,トロント大学商学部　卒業,2021,301~500時間,1
1/30/2022 21:05:23,24,11~20社,大阪工業大学 情報科学部卒業,2021,501~700時間,1
1/30/2022 21:50:14,26,1~10社,日本経済大学 経済学部,2021,30時間未満,1
1/30/2022 22:23:32,29,21~40社,専門卒,2022,701~900時間,0
1/30/2022 22:34:42,28,1~10社,大阪大学大学院工学研究科　修士課程修了,2021,30時間未満,4
1/30/2022 22:44:49,25,61社以上,新潟大学教育学部　学校教員養成課程教科教育コース　英語教育専修,2021,701~900時間,1
1/30/2022 23:16:51,23,11~20社,同志社大学商学部　卒業,2021,101~300時間,3
1/30/2022 23:16:56,28,1~10社,普通高校 卒業,2019,701~900時間,2
1/30/2022 23:28:12,27,21~40社,成蹊大学理工学部,2021,901~1100時間,2
1/30/2022 23:42:01,62,1~10社,大学,2021,30~100時間,1
1/30/2022 23:51:13,31,11~20社,東京経済大学,2021,1101時間以上,1
1/30/2022 23:55:37,26,1~10社,東京農工大学大学院農学府,2021,501~700時間,1
1/30/2022 23:59:19,21,1~10社,埼玉学園大学 経済経営学部 卒業見込み,2021,501~700時間,3
1/31/2022 0:51:08,26,21~40社,玉川大学農学部生命化学科  卒業,2021,501~700時間,3
1/31/2022 1:23:32,23,1~10社,川口短期大学 卒業,2022,30時間未満,2
1/31/2022 1:26:32,27,1~10社,近畿大学総合社会学部　卒業,2020,701~900時間,3
1/31/2022 5:03:12,34,11~20社,高卒,2021,30~100時間,2
1/31/2022 6:47:49,26,1~10社,神奈川工科大学工学部　卒業,2020,701~900時間,1
1/31/2022 8:36:57,43,1~10社,高校　卒業,2022,30~100時間,0
1/31/2022 9:12:19,25,11~20社,看護系専門学校　卒業,2022,101~300時間,0
1/31/2022 11:02:36,26,1~10社,東京国際大学　言語コミュニケーション学部　卒業,2021,30時間未満,2
1/31/2022 12:43:19,30,1~10社,専門,2020,30時間未満,2
1/31/2022 14:26:44,28,11~20社,大学,2021,1101時間以上,1
1/31/2022 15:37:25,23,11~20社,宇都宮大学教育学部　卒業,2022,30~100時間,0
1/31/2022 15:51:45,24,61社以上,東海医療工学専門学校救急救命科　卒業,2021,1101時間以上,3
1/31/2022 16:14:50,41,1~10社,専門学校,2022,901~1100時間,1
1/31/2022 16:38:44,23,1~10社,高千穂大学経営学部　卒業,2021,701~900時間,1
1/31/2022 17:36:16,25,1~10社,大手前栄養学院専門学校 卒業,2019,301~500時間,1
1/31/2022 17:46:40,47,1~10社,名古屋大学大学院理学部,2020,1101時間以上,1
1/31/2022 19:08:33,25,11~20社,琉球大学　卒業,2021,301~500時間,1
1/31/2022 19:26:10,30,61社以上,明治大学商学部,202107,1101時間以上,3
1/31/2022 20:08:02,24,11~20社,岐阜協立大学経営学部　卒業,2021,301~500時間,1
1/31/2022 20:40:05,28,61社以上,関西外国語大学,2021,501~700時間,2
1/31/2022 21:07:39,26,1~10社,専門学校卒業,2021,101~300時間,1
1/31/2022 21:26:26,28,1~10社,大阪芸術大学　芸術学部　卒業,2019,101~300時間,0
1/31/2022 21:42:42,28,1~10社,早稲田大学基幹理工学研究科数学応用数理専攻博士後期課程　中退,2021,1101時間以上,1
1/31/2022 22:52:34,25,41~60社,駒澤大学経済学部　卒業,2021,301~500時間,2
1/31/2022 23:02:37,28,1~10社,京都大学人間環境学研究科,2019,701~900時間,2
1/31/2022 23:26:59,25,11~20社,愛知学院大学法学部　卒業,2020,301~500時間,1
1/31/2022 23:36:32,24,1~10社,大学卒,2021,301~500時間,3
1/31/2022 23:50:08,34,61社以上,美容専門学校,2021,301~500時間,2
1/31/2022 23:52:58,27,1~10社,大学卒業,2021,30~100時間,3
2/1/2022 2:17:31,24,1~10社,高卒,2021,101~300時間,2
2/1/2022 3:09:13,22,1~10社,専修大学　在学,2021,30~100時間,1
2/1/2022 4:42:19,26,1~10社,北海学園大学経営学部経営情報学科 卒業,2019,101~300時間,2
2/1/2022 7:23:11,27,1~10社,鹿児島大学大学院水産学研究科,2018,301~500時間,1
2/1/2022 7:49:32,27,1~10社,大学中退,2021,30~100時間,1
2/1/2022 8:54:09,28,1~10社,愛媛大学理学部（生物）,2019,101~300時間,2
2/1/2022 9:14:27,24,1~10社,服飾系専門学校,2020,30時間未満,2
2/1/2022 10:25:18,24,61社以上,立正大学地球環境科学部　中退,2020,101~300時間,1
2/1/2022 11:06:27,34,61社以上,高卒,2019,501~700時間,2
2/1/2022 14:25:53,27,41~60社,京都産業大学経営学部,2017,301~500時間,1
2/1/2022 15:54:55,30,1~10社,ルネサンス高等学校　卒業,2022,301~500時間,0
2/1/2022 16:46:43,27,61社以上,玉川大学農学部　卒業,2021,701~900時間,1
2/1/2022 17:06:02,22,1~10社,高校卒,2020,701~900時間,2
2/1/2022 19:56:50,25,1~10社,大学,2021,901~1100時間,4
2/1/2022 22:47:37,25,1~10社,大阪大学工学部　卒業,2020,301~500時間,2
2/1/2022 23:31:56,30,1~10社,音楽大学中退,2020,701~900時間,1
2/1/2022 23:35:06,28,61社以上,同志社大学,2021,101~300時間,2
2/1/2022 23:38:25,25,11~20社,横浜市立大学　国際総合科学部　経済学コース　卒業,2020,30~100時間,1
2/2/2022 2:05:34,28,1~10社,東洋大学経済学部　卒業,2021,301~500時間,1
2/2/2022 12:45:26,25,1~10社,近畿大学経済学部中退,2018,30~100時間,4
2/2/2022 18:14:36,26,11~20社,青山学院大学教育学部　卒業,2022,501~700時間,0
2/2/2022 18:50:15,32,1~10社,専門卒,2021,701~900時間,4
2/2/2022 19:12:39,22,1~10社,福岡大学 理学部 応用数学科 卒業,2011,701~900時間,1
2/2/2022 19:19:09,25,1~10社,高卒,2020,101~300時間,2
2/2/2022 19:24:47,22,61社以上,大原法律公務員専門学校　卒業,2018,301~500時間,1
2/2/2022 19:31:15,24,21~40社,高卒,2021,301~500時間,4
2/2/2022 19:35:07,20,1~10社,中央大学経済学部,2022,30~100時間,0
2/2/2022 19:46:24,27,61社以上,千厩高等学校産業技術科　卒業,2020,901~1100時間,4
2/2/2022 19:48:49,18,1~10社,高卒,2015,1101時間以上,1
2/2/2022 20:00:07,26,21~40社,高卒,2021,301~500時間,4
2/2/2022 20:03:16,39,1~10社,釜石南高等学校,2021,30~100時間,0
2/2/2022 20:14:37,28,61社以上,信州大学人文学部,2020,501~700時間,5
2/2/2022 20:23:23,35,61社以上,服部栄養専門学校　卒業,2021,1101時間以上,1
2/2/2022 20:34:34,30,11~20社,国立東京高専物質工学科　卒業,2021,1101時間以上,4
2/2/2022 20:37:06,29,1~10社,多摩美術大学　彫刻学科,2021,30~100時間,3
2/2/2022 20:47:31,21,41~60社,私立理系大学情報系学部卒,2019,301~500時間,4
2/2/2022 20:49:39,20,21~40社,普通科高校　卒業,2021,701~900時間,1
2/2/2022 21:14:33,28,11~20社,東北大学大学院工学研究科博士課程修了,2021,101~300時間,2
2/2/2022 21:29:48,32,11~20社,愛知大学文学部卒業,2021,701~900時間,2
2/2/2022 22:48:30,24,21~40社,津山工業高等専門学校電気電子工学科 卒業,2021,501~700時間,1
2/2/2022 22:50:18,24,1~10社,京都外国語大学外国語学部　卒業,2021,30時間未満,1
2/2/2022 23:03:17,27,21~40社,千葉工業大学　社会システム科学部,2021,701~900時間,2
2/2/2022 23:22:58,42,1~10社,短大卒,2018,701~900時間,1
2/2/2022 23:24:20,24,1~10社,東京経済大学現代法学部　卒業,2019,30~100時間,2
2/2/2022 23:30:41,28,1~10社,福翔高校商業学科,2020,101~300時間,1
2/3/2022 0:03:10,33,21~40社,法政大学,2022,30~100時間,1
2/3/2022 0:20:40,26,11~20社,近畿大学経済学部 卒業,2020,501~700時間,1
2/3/2022 0:59:04,30,1~10社,立命館アジア太平洋大学アジア太平洋学部　卒業,2019,101~300時間,1
2/3/2022 1:47:26,30,21~40社,大分東高等学校,2021,501~700時間,1
2/3/2022 3:26:38,35,1~10社,明星大学人文学部 卒業,2021,901~1100時間,1
2/3/2022 8:20:27,32,11~20社,京都工芸繊維大学院,2020,701~900時間,2
2/3/2022 8:37:35,30,1~10社,慶應義塾大学法学部　卒業,2015,30時間未満,1
2/3/2022 9:03:08,29,1~10社,東京大学大学院総合文化研究科　修了,2020,301~500時間,2
2/3/2022 12:54:12,29,41~60社,関西大学経済学部　卒業,2021,301~500時間,1
2/3/2022 15:09:17,30,1~10社,福岡第一高等学校普通科　卒業,2017,30~100時間,1
2/3/2022 18:47:58,31,1~10社,立命館アジア太平洋大学　卒業,2021,501~700時間,3
2/3/2022 20:07:45,29,1~10社,専門学校,2019,501~700時間,2
2/3/2022 21:14:57,27,11~20社,聖学院大学,2019,30時間未満,5
2/3/2022 21:38:45,24,21~40社,高卒,2021,101~300時間,2
2/3/2022 22:05:11,27,21~40社,愛知県の私立大学　卒業,2021,101~300時間,1
2/3/2022 22:13:52,27,1~10社,商業高校卒　簿記系,2021,501~700時間,3
2/3/2022 22:42:54,30,1~10社,明治大学国際日本学部　卒業,2021,301~500時間,1
2/4/2022 0:55:34,25,61社以上,東京電機大学理工学部　卒業,2022,1101時間以上,1
2/4/2022 1:19:31,28,1~10社,芝浦工業大学　デザイン工学部　卒業,2022,301~500時間,0
2/4/2022 13:58:49,25,21~40社,上智大学大学院　理工学研究科　修士課程　修了,2021,901~1100時間,1
2/4/2022 14:46:43,23,11~20社,徳島大学大学院　修了,2019,30時間未満,4
2/4/2022 15:38:10,36,11~20社,産業能率大学卒業,2021,701~900時間,3
