Timestamp,Country,Current online courses,Preffered online courses,Enjoy online,Motivated online,Satisfied online,Engaging online,Distracted online,Actions online,Enjoy offline,Motivated offline,Satisfied offline,Engaging offline,Distracted offline,Actions online,Preferred course
5/21/2020 15:21:35,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,1,4,2,5,4,4,4,4,4,4,4,In-person Courses
5/21/2020 16:08:40,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Discussion forums/chats,4,1,4,2,5,2,4,2,4,4,5,2,Online Courses
5/21/2020 16:28:24,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,2,4,4,4,4,4,4,4,4,2,4,In-person Courses
5/21/2020 16:31:14,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,4,4,4,3,4,4,3,3,4,5,3,Online Courses
5/21/2020 16:55:39,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,4,4,4,5,5,4,4,3,5,5,3,5,In-person Courses
5/21/2020 17:12:44,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,2,4,4,5,5,5,5,4,4,4,4,In-person Courses
5/21/2020 17:17:15,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,1,2,4,4,4,4,4,4,1,5,In-person Courses
5/21/2020 17:19:14,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,4,2,3,4,5,5,4,5,5,2,5,In-person Courses
5/21/2020 17:22:40,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,4,4,4,4,5,5,5,5,5,5,5,In-person Courses
5/21/2020 17:29:22,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,4,5,5,4,4,4,4,4,5,2,2,In-person Courses
5/21/2020 17:33:57,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,3,2,3,4,4,4,4,4,4,1,4,In-person Courses
5/21/2020 17:46:12,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,4,3,4,3,4,3,4,3,4,3,4,Online Courses
5/21/2020 17:51:16,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,4,3,4,2,4,5,4,4,4,1,2,In-person Courses
5/21/2020 17:54:12,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,2,2,2,2,4,2,5,5,5,4,3,4,In-person Courses
5/21/2020 17:57:27,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,4,2,4,2,5,2,3,4,5,4,3,3,Online Courses
5/21/2020 17:57:38,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,2,2,3,3,5,2,4,4,4,4,3,4,In-person Courses
5/21/2020 17:57:51,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,3,4,3,4,4,4,4,4,4,2,3,Online Courses
5/21/2020 18:04:46,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,4,3,4,1,5,4,5,5,5,2,4,In-person Courses
5/21/2020 18:06:43,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,2,4,3,5,4,4,3,4,4,2,3,In-person Courses
5/21/2020 18:07:58,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,2,4,4,4,4,5,4,5,4,2,4,In-person Courses
5/21/2020 18:16:51,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,2,2,3,2,3,4,4,4,4,4,2,In-person Courses
5/21/2020 18:21:21,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,2,1,2,4,3,4,4,4,4,2,4,In-person Courses
5/21/2020 18:22:56,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,4,4,4,5,2,5,4,4,4,2,4,In-person Courses
5/21/2020 18:24:00,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,3,4,4,2,4,5,4,4,4,2,4,In-person Courses
